order_id,user_id,order_number,order_dow,order_hour_of_day,days_since_prior_order,product_id,add_to_cart_order,reordered,department_id,department,product_name
2425083,49125,1,2,18,0,17,1,0,13,pantry,"baking ingredients"
2425083,49125,1,2,18,0,91,2,0,16,"dairy eggs","soy lactosefree"
2425083,49125,1,2,18,0,36,3,0,16,"dairy eggs",butter
2425083,49125,1,2,18,0,83,4,0,4,produce,"fresh vegetables"
2425083,49125,1,2,18,0,83,5,0,4,produce,"fresh vegetables"
2425083,49125,1,2,18,0,91,6,0,16,"dairy eggs","soy lactosefree"
2425083,49125,1,2,18,0,120,7,0,16,"dairy eggs",yogurt
2425083,49125,1,2,18,0,59,8,0,15,"canned goods","canned meals beans"
2425083,49125,1,2,18,0,35,9,0,12,"meat seafood","poultry counter"
1944304,162867,1,3,17,0,37,1,0,1,frozen,"ice cream ice"
1944304,162867,1,3,17,0,24,2,0,4,produce,"fresh fruits"
1944304,162867,1,3,17,0,83,3,0,4,produce,"fresh vegetables"
1944304,162867,1,3,17,0,84,4,0,16,"dairy eggs",milk
1944304,162867,1,3,17,0,91,5,0,16,"dairy eggs","soy lactosefree"
1944304,162867,1,3,17,0,24,6,0,4,produce,"fresh fruits"
1944304,162867,1,3,17,0,24,7,0,4,produce,"fresh fruits"
1944304,162867,1,3,17,0,24,8,0,4,produce,"fresh fruits"
1944304,162867,1,3,17,0,21,9,0,16,"dairy eggs","packaged cheese"
1944304,162867,1,3,17,0,112,10,0,3,bakery,bread
1944304,162867,1,3,17,0,24,11,0,4,produce,"fresh fruits"
1944304,162867,1,3,17,0,24,12,0,4,produce,"fresh fruits"
1944304,162867,1,3,17,0,24,13,0,4,produce,"fresh fruits"
1201011,147243,14,0,16,3,94,1,0,7,beverages,tea
1201011,147243,14,0,16,3,83,2,0,4,produce,"fresh vegetables"
1201011,147243,14,0,16,3,83,3,1,4,produce,"fresh vegetables"
1201011,147243,14,0,16,3,24,4,1,4,produce,"fresh fruits"
1201011,147243,14,0,16,3,120,5,1,16,"dairy eggs",yogurt
1201011,147243,14,0,16,3,120,6,1,16,"dairy eggs",yogurt
1201011,147243,14,0,16,3,91,7,1,16,"dairy eggs","soy lactosefree"
1201011,147243,14,0,16,3,120,8,1,16,"dairy eggs",yogurt
1201011,147243,14,0,16,3,120,9,1,16,"dairy eggs",yogurt
1201011,147243,14,0,16,3,8,10,0,3,bakery,"bakery desserts"
1201011,147243,14,0,16,3,24,11,1,4,produce,"fresh fruits"
1201011,147243,14,0,16,3,52,12,0,1,frozen,"frozen breakfast"
1201011,147243,14,0,16,3,36,13,1,16,"dairy eggs",butter
1201011,147243,14,0,16,3,121,14,0,14,breakfast,cereal
1201011,147243,14,0,16,3,86,15,0,16,"dairy eggs",eggs
1906860,195275,81,1,11,3,83,1,1,4,produce,"fresh vegetables"
1906860,195275,81,1,11,3,86,2,1,16,"dairy eggs",eggs
1906860,195275,81,1,11,3,24,3,1,4,produce,"fresh fruits"
1906860,195275,81,1,11,3,24,4,1,4,produce,"fresh fruits"
1906860,195275,81,1,11,3,43,5,1,3,bakery,"buns rolls"
1906860,195275,81,1,11,3,120,6,1,16,"dairy eggs",yogurt
1906860,195275,81,1,11,3,24,7,1,4,produce,"fresh fruits"
1906860,195275,81,1,11,3,83,8,1,4,produce,"fresh vegetables"
1906860,195275,81,1,11,3,83,9,1,4,produce,"fresh vegetables"
1906860,195275,81,1,11,3,83,10,1,4,produce,"fresh vegetables"
1906860,195275,81,1,11,3,24,11,1,4,produce,"fresh fruits"
2766469,58222,3,6,11,6,53,1,1,16,"dairy eggs",cream
2766469,58222,3,6,11,6,86,2,1,16,"dairy eggs",eggs
2766469,58222,3,6,11,6,115,3,1,7,beverages,"water seltzer sparkling water"
2766469,58222,3,6,11,6,120,4,0,16,"dairy eggs",yogurt
2766469,58222,3,6,11,6,17,5,0,13,pantry,"baking ingredients"
2766469,58222,3,6,11,6,17,6,1,13,pantry,"baking ingredients"
2766469,58222,3,6,11,6,17,7,0,13,pantry,"baking ingredients"
2766469,58222,3,6,11,6,24,8,0,4,produce,"fresh fruits"
2766469,58222,3,6,11,6,110,9,0,13,pantry,"pickled goods olives"
2766469,58222,3,6,11,6,49,10,0,12,"meat seafood","packaged poultry"
2766469,58222,3,6,11,6,83,11,0,4,produce,"fresh vegetables"
2766469,58222,3,6,11,6,21,12,0,16,"dairy eggs","packaged cheese"
2766469,58222,3,6,11,6,21,13,0,16,"dairy eggs","packaged cheese"
2766469,58222,3,6,11,6,83,14,0,4,produce,"fresh vegetables"
2766469,58222,3,6,11,6,108,15,0,16,"dairy eggs","other creams cheeses"
3195784,120094,11,5,17,7,29,1,0,13,pantry,"honeys syrups nectars"
3195784,120094,11,5,17,7,26,2,1,7,beverages,coffee
3195784,120094,11,5,17,7,91,3,1,16,"dairy eggs","soy lactosefree"
3195784,120094,11,5,17,7,31,4,1,7,beverages,refrigerated
3195784,120094,11,5,17,7,24,5,1,4,produce,"fresh fruits"
3195784,120094,11,5,17,7,3,6,1,19,snacks,"energy granola bars"
1378095,73110,1,6,10,0,77,1,0,7,beverages,"soft drinks"
1378095,73110,1,6,10,0,30,2,0,6,international,"latino foods"
1304367,53959,5,5,1,30,111,1,1,17,household,"plates bowls cups flatware"
1304367,53959,5,5,1,30,54,2,1,17,household,"paper goods"
1304367,53959,5,5,1,30,91,3,1,16,"dairy eggs","soy lactosefree"
1304367,53959,5,5,1,30,20,4,1,11,"personal care","oral hygiene"
1304367,53959,5,5,1,30,56,5,1,18,babies,"diapers wipes"
1304367,53959,5,5,1,30,85,6,0,17,household,"food storage"
1304367,53959,5,5,1,30,85,7,0,17,household,"food storage"
1304367,53959,5,5,1,30,85,8,0,17,household,"food storage"
1304367,53959,5,5,1,30,24,9,1,4,produce,"fresh fruits"
1304367,53959,5,5,1,30,117,10,1,19,snacks,"nuts seeds dried fruit"
1304367,53959,5,5,1,30,25,11,1,11,"personal care",soap
1304367,53959,5,5,1,30,25,12,0,11,"personal care",soap
1670129,176782,12,0,8,20,24,1,1,4,produce,"fresh fruits"
1670129,176782,12,0,8,20,24,2,1,4,produce,"fresh fruits"
1670129,176782,12,0,8,20,24,3,1,4,produce,"fresh fruits"
1670129,176782,12,0,8,20,120,4,1,16,"dairy eggs",yogurt
1670129,176782,12,0,8,20,123,5,1,4,produce,"packaged vegetables fruits"
1670129,176782,12,0,8,20,106,6,1,12,"meat seafood","hot dogs bacon sausage"
1670129,176782,12,0,8,20,96,7,1,20,deli,"lunch meat"
1670129,176782,12,0,8,20,83,8,1,4,produce,"fresh vegetables"
1670129,176782,12,0,8,20,107,9,1,19,snacks,"chips pretzels"
1670129,176782,12,0,8,20,77,10,1,7,beverages,"soft drinks"
1670129,176782,12,0,8,20,123,11,1,4,produce,"packaged vegetables fruits"
1670129,176782,12,0,8,20,122,12,1,12,"meat seafood","meat counter"
1670129,176782,12,0,8,20,24,13,1,4,produce,"fresh fruits"
1670129,176782,12,0,8,20,49,14,1,12,"meat seafood","packaged poultry"
1670129,176782,12,0,8,20,35,15,1,12,"meat seafood","poultry counter"
1670129,176782,12,0,8,20,67,16,0,20,deli,"fresh dips tapenades"
1670129,176782,12,0,8,20,123,17,1,4,produce,"packaged vegetables fruits"
